k,bic
5,-2501217.6253714487
6,-2509724.676504946
7,-2515728.406953329
8,-2510960.0801694184
9,-2510244.089980546
10,-2502492.286706021
11,-2493814.4095105706
12,-2489649.159436874
13,-2474406.6435975474
14,-2469543.982132969
15,-2460522.2901860643
16,-2448626.900837508
17,-2437309.573089018
18,-2426235.6867180075
19,-2412927.700947924
20,-2399614.1030962
21,-2386304.7826695256
22,-2371701.7345419144
23,-2359699.577248018
24,-2345751.0190675957
25,-2331923.947061605
26,-2317267.0193801476
27,-2301321.7191111594
28,-2285568.8098606775
29,-2271958.151461048
30,-2256159.8416091874
31,-2241104.578414641
32,-2225375.582465808
33,-2208370.238749599
34,-2191410.482908328
35,-2176298.6152421916
36,-2160623.5506503447
37,-2146340.211011241
38,-2128531.978453936
39,-2112712.1759899147
40,-2097320.303618814
